date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:27	459611/459611	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20May%202017%2016:57:18%20GMT	http://themexriver.com/industrial-demo/assets/images/body-bg.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/body-bg.jpg	(from http://themexriver.com/industrial-demo/assets/css/style.css)
15:13:28	7352/7352	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202018%2019:40:44%20GMT	http://themexriver.com/industrial-demo/assets/css/bootstrap-slider.min.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/bootstrap-slider.min.css	(from http://themexriver.com/industrial-demo/shop-sidebar.html)
15:13:28	807/807	---MCZ	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202018%2019:45:56%20GMT	http://themexriver.com/industrial-demo/assets/css/bootstrap-touchspin.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/bootstrap-touchspin.css	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:29	3400/3400	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Apr%202017%2021:21:20%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/shop-details/thumb/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/shop-details/thumb/img-1.jpg	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:30	2146/2146	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2020:30:22%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/review/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/review/img-1.jpg	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:30	2233/2233	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2020:30:26%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/review/img-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/review/img-2.jpg	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:30	2247/2247	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2020:30:30%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/review/img-3.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/review/img-3.jpg	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:30	41167/41167	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Apr%202017%2020:54:12%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/shop-details/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/shop-details/img-1.jpg	(from http://themexriver.com/industrial-demo/shop-details.html)
15:13:31	3115/3115	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2020:17:46%20GMT	http://themexriver.com/industrial-demo/assets/images/testimonials/img-3.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/testimonials/img-3.jpg	(from http://themexriver.com/industrial-demo/testimonials.html)
15:13:31	2943/2943	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2020:18:02%20GMT	http://themexriver.com/industrial-demo/assets/images/testimonials/img-4.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/testimonials/img-4.jpg	(from http://themexriver.com/industrial-demo/testimonials.html)
15:13:31	2839/2839	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2020:18:34%20GMT	http://themexriver.com/industrial-demo/assets/images/testimonials/img-5.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/testimonials/img-5.jpg	(from http://themexriver.com/industrial-demo/testimonials.html)
15:13:32	3141/3141	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2020:18:54%20GMT	http://themexriver.com/industrial-demo/assets/images/testimonials/img-6.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/testimonials/img-6.jpg	(from http://themexriver.com/industrial-demo/testimonials.html)
15:13:32	4374/4374	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:23:06%20GMT	http://themexriver.com/industrial-demo/assets/images/blog/thumb/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog/thumb/img-1.jpg	(from http://themexriver.com/industrial-demo/blog-right-sidebar.html)
15:13:33	5179/5179	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:23:54%20GMT	http://themexriver.com/industrial-demo/assets/images/blog/thumb/img-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog/thumb/img-2.jpg	(from http://themexriver.com/industrial-demo/blog-right-sidebar.html)
15:13:33	3820/3820	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:23:58%20GMT	http://themexriver.com/industrial-demo/assets/images/blog/thumb/img-3.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog/thumb/img-3.jpg	(from http://themexriver.com/industrial-demo/blog-right-sidebar.html)
15:13:35	1774/1774	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:54:54%20GMT	http://themexriver.com/industrial-demo/assets/images/blog-details/comments/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog-details/comments/img-1.jpg	(from http://themexriver.com/industrial-demo/blog-details.html)
15:13:36	1727/1727	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:55:02%20GMT	http://themexriver.com/industrial-demo/assets/images/blog-details/comments/img-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog-details/comments/img-2.jpg	(from http://themexriver.com/industrial-demo/blog-details.html)
15:13:38	26931/26931	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:53:50%20GMT	http://themexriver.com/industrial-demo/assets/images/blog-details/img-3.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog-details/img-3.jpg	(from http://themexriver.com/industrial-demo/blog-details.html)
